season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over
2023,Delhi,2023-05-13,League,P Simran Singh,Arun Jaitley Stadium,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Punjab Kings,runs,31.0,168.0,20.0,N
2023,Jaipur,2023-05-14,League,WD Parnell,Sawai Mansingh Stadium,Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,runs,112.0,172.0,20.0,N
2023,Chennai,2023-05-14,League,RK Singh,MA Chidambaram Stadium,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,wickets,6.0,145.0,20.0,N
2023,Ahmedabad,2023-05-15,League,Shubman Gill,Narendra Modi Stadium,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Gujarat Titans,runs,34.0,189.0,20.0,N
2023,Lucknow,2023-05-16,League,MP Stoinis,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Lucknow Super Giants,runs,5.0,178.0,20.0,N
2023,Dharamsala,2023-05-17,League,RR Rossouw,Himachal Pradesh Cricket Association Stadium,Delhi Capitals,Punjab Kings,Punjab Kings,field,Delhi Capitals,runs,15.0,214.0,20.0,N
2023,Hyderabad,2023-05-18,League,V Kohli,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,8.0,187.0,20.0,N
2023,Dharamsala,2023-05-19,League,D Padikkal,Himachal Pradesh Cricket Association Stadium,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,4.0,188.0,20.0,N
2023,Delhi,2023-05-20,League,RD Gaikwad,Arun Jaitley Stadium,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,runs,77.0,224.0,20.0,N
2023,Kolkata,2023-05-20,League,N Pooran,Eden Gardens,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,Lucknow Super Giants,runs,1.0,177.0,20.0,N
2023,Mumbai,2023-05-21,League,C Green,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,8.0,201.0,20.0,N
2023,Bengaluru,2023-05-21,League,Shubman Gill,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,wickets,6.0,198.0,20.0,N
2023,Chennai,2023-05-23,Qualifier 1,RD Gaikwad,MA Chidambaram Stadium,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Chennai Super Kings,runs,15.0,173.0,20.0,N
2023,Chennai,2023-05-24,Eliminator,Akash Madhwal,MA Chidambaram Stadium,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,Mumbai Indians,runs,81.0,183.0,20.0,N
2023,Ahmedabad,2023-05-26,Qualifier 2,Shubman Gill,Narendra Modi Stadium,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,Gujarat Titans,runs,62.0,234.0,20.0,N
2023,Ahmedabad,2023-05-29,Final,DP Conway,Narendra Modi Stadium,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,5.0,171.0,15.0,N
2024,Chennai,2024-03-22,League,Mustafizur Rahman,MA Chidambaram Stadium,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,bat,Chennai Super Kings,wickets,6.0,174.0,20.0,N
2024,Mohali,2024-03-23,League,SM Curran,Maharaja Yadavindra Singh International Cricket Stadium,Delhi Capitals,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,4.0,175.0,20.0,N
2024,Kolkata,2024-03-23,League,AD Russell,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,runs,4.0,209.0,20.0,N
2024,Jaipur,2024-03-24,League,SV Samson,Sawai Mansingh Stadium,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,bat,Rajasthan Royals,runs,20.0,194.0,20.0,N
